1500;Rufst ud mich an, ### du Zeit hast?;wenn
1501; Wo wart ihr, ### wir die Weltmeisterchaft im Jahr 1998 gewonnen haben?;als
1502;Er ist zufrieden, ### er gewinnt;wenn
1503;### ich müde bin, gehe ich in die Schule.;obwohl
1504;### kommst du nach Hause?;wenn
1505;Ich gehe in die Schule, ### ich krank bin.;obwohl 
1501;Er war geärgert, ### es nicht meine Schuld war.;obwohl
1507;### du nett bist, kaufe ich dir ein Fahrrad.;wenn
1508;Er ging ins Kino, ### er nicht wollte.;obwohl
1509;### sie sich verloren haben, hatten sie Spaß.;obwohl
1510;###ich letzte Woche krank war, lag ich im Bett.;als
